domain,div,a,img,span,ul,li
sms-japan.com,55.0,8.0,0.0,0.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
sms-japan.com,62.0,8.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
tooljp.com,9.0,101.0,0.0,2.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
engineer314.com,9.0,90.0,0.0,4.0,0.0,0.0
reactoridle.com,63.0,0.0,0.0,1.0,0.0,0.0
nonai.jp,17.0,81.0,0.0,7.0,0.0,0.0
slithercraft.io,266.0,9.0,0.0,26.0,0.0,0.0
readouble.com,147.0,57.0,0.0,29.0,0.0,0.0
gamelando.com,6.0,128.0,0.0,12.0,0.0,0.0
denwam.com,159.0,487.0,0.0,1.0,0.0,0.0
yonelabo.com,148.0,71.0,0.0,0.0,0.0,0.0
kishibetsu.com,5.0,981.0,0.0,0.0,0.0,0.0
jazznavi.net,16.0,70.0,0.0,69.0,0.0,0.0
xn--18jvc319lb8ehln4rer93a.com,37.0,73.0,0.0,3.0,0.0,0.0
gbf.life,129.0,88.0,0.0,4.0,0.0,0.0
godfield.net,72.0,3.0,0.0,11.0,0.0,0.0
5chmap.com,10.0,41.0,0.0,41.0,0.0,0.0
quora.com,66.0,9.0,0.0,26.0,0.0,0.0
arteducation.com.tw,143.0,472.0,0.0,91.0,0.0,0.0
wcmap.net,8.0,49.0,0.0,3.0,0.0,0.0
howold.date,161.0,119.0,0.0,0.0,0.0,0.0
just-jobs.com,170.0,145.0,0.0,0.0,0.0,0.0
sms-japan.com,62.0,8.0,0.0,0.0,0.0,0.0
openproxy.space,61.0,26.0,0.0,20.0,0.0,0.0
reactoridle.com,63.0,0.0,0.0,1.0,0.0,0.0
jpcmap.com,87.0,10.0,0.0,6.0,0.0,0.0
dajarenavi.net,15.0,73.0,2.0,26.0,0.0,0.0
javadrive.jp,44.0,45.0,2.0,16.0,0.0,0.0
howtonote.jp,43.0,22.0,2.0,13.0,0.0,0.0
momonayama.net,113.0,183.0,2.0,6.0,0.0,0.0
sta-men.jp,9.0,513.0,2.0,4.0,0.0,0.0
denwakyoku.jp,8.0,159.0,2.0,3.0,0.0,0.0
sizekensaku.com,10.0,170.0,2.0,3.0,0.0,0.0
winriver.net,0.0,107.0,2.0,0.0,0.0,0.0
fooddiez.jp,145.0,220.0,3.0,381.0,0.0,0.0
genyotech.com,42.0,1.0,3.0,9.0,0.0,0.0
researchgate.net,86.0,32.0,3.0,30.0,0.0,0.0
fooddiez.jp,152.0,222.0,3.0,381.0,0.0,0.0
gamedeals.io,42.0,1.0,3.0,9.0,0.0,0.0
listenonrepeat.com,106.0,4.0,3.0,50.0,0.0,0.0
nangokulife.net,33.0,20.0,3.0,0.0,0.0,0.0
dengen-cafe.com,153.0,43.0,3.0,4.0,0.0,0.0
steamcharts.com,20.0,32.0,3.0,3.0,0.0,0.0
hpfree.com,23.0,41.0,3.0,1.0,0.0,0.0
sugawarataku.net,17.0,39.0,3.0,1.0,0.0,0.0
1stkissnovel.love,42.0,1.0,3.0,9.0,0.0,0.0
healthnatural.co.uk,42.0,1.0,3.0,9.0,0.0,0.0
thebest-1.com,664.0,144.0,3.0,4.0,0.0,0.0
10bye.com,81.0,33.0,3.0,105.0,0.0,0.0
newdelhiairport.in,42.0,1.0,3.0,9.0,0.0,0.0
playmarket.com,42.0,1.0,3.0,9.0,0.0,0.0
rippletown.jp,6.0,31.0,3.0,16.0,0.0,0.0
cars-japan.net,41.0,22.0,3.0,9.0,0.0,0.0
gmauthority.com,42.0,1.0,3.0,9.0,0.0,0.0
memorva.jp,60.0,12.0,3.0,7.0,0.0,0.0
spectank.jp,37.0,21.0,3.0,0.0,0.0,0.0
fooddiez.jp,152.0,222.0,3.0,381.0,0.0,0.0
gamedeals.io,42.0,1.0,3.0,9.0,0.0,0.0
steamcharts.com,20.0,32.0,3.0,3.0,0.0,0.0
nangokulife.net,33.0,20.0,3.0,0.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
carisinyal.com,507.0,233.0,4.0,7.0,0.0,0.0
tjoy.jp,72.0,26.0,4.0,1.0,0.0,0.0
tomari.org,384.0,350.0,4.0,17.0,0.0,0.0
jp-book.store,62.0,147.0,4.0,6.0,0.0,0.0
craiyon.com,60.0,12.0,4.0,33.0,0.0,0.0
kininaruart.com,141.0,51.0,4.0,0.0,0.0,0.0
kakuge.com,36.0,18.0,4.0,0.0,0.0,0.0
superspin.io,84.0,25.0,4.0,0.0,0.0,0.0
teikan.tokyo,290.0,198.0,4.0,1.0,0.0,0.0
wanted5games.com,57.0,14.0,4.0,0.0,0.0,0.0
hix05.com,6.0,74.0,4.0,1.0,0.0,0.0
townphoto.net,44.0,49.0,4.0,3.0,0.0,0.0
stock-chart.net,9.0,77.0,4.0,0.0,0.0,0.0
xutnufoob.com,61.0,48.0,4.0,74.0,0.0,0.0
keluyuran.com,283.0,129.0,4.0,7.0,0.0,0.0
dekajiyo.com,83.0,24.0,5.0,3.0,0.0,0.0
peing.net,69.0,12.0,5.0,4.0,0.0,0.0
tabtter.jp,29.0,22.0,5.0,2.0,0.0,0.0
betterdiscord.app,119.0,31.0,5.0,58.0,0.0,0.0
daily-horoscope.us,205.0,95.0,5.0,10.0,0.0,0.0
tabtter.jp,28.0,22.0,5.0,2.0,0.0,0.0
translator.jp,6.0,176.0,5.0,16.0,0.0,0.0
xutnufoob.com,61.0,49.0,6.0,74.0,0.0,0.0
uub.jp,172.0,69.0,6.0,52.0,0.0,0.0
w3schools.com,198.0,333.0,6.0,111.0,0.0,0.0
iranproud2.net,80.0,20.0,6.0,0.0,0.0,0.0
loonea.com,35.0,17.0,7.0,5.0,0.0,0.0
loonea.com,35.0,17.0,7.0,5.0,0.0,0.0
anzenhiroshima.jp,56.0,40.0,7.0,2.0,0.0,0.0
pwalker.jp,46.0,43.0,7.0,35.0,0.0,0.0
n225chart.com,17.0,41.0,7.0,12.0,0.0,0.0
mapio.net,83.0,9.0,7.0,24.0,0.0,0.0
storys.jp,543.0,129.0,7.0,86.0,0.0,0.0
ds-can.com,7.0,102.0,7.0,1.0,0.0,0.0
loonea.com,35.0,17.0,7.0,5.0,0.0,0.0
pwalker.jp,46.0,43.0,7.0,35.0,0.0,0.0
minorusan.net,14.0,60.0,8.0,1.0,0.0,0.0
kpers.net,37.0,127.0,8.0,5.0,0.0,0.0
taikaisyu.com,122.0,110.0,8.0,3.0,0.0,0.0
garageakira.com,60.0,23.0,8.0,38.0,0.0,0.0
kpers.net,37.0,127.0,8.0,4.0,0.0,0.0
findextrawork.co.uk,33.0,150.0,9.0,2.0,0.0,0.0
nocodelab.jp,102.0,4.0,9.0,0.0,0.0,0.0
horoscope.com,71.0,145.0,9.0,4.0,0.0,0.0
alcpu.com,16.0,73.0,9.0,18.0,0.0,0.0
windays.jp,34.0,65.0,9.0,1.0,0.0,0.0
tr-ex.me,412.0,1313.0,9.0,425.0,0.0,0.0
travel-zentech.jp,11.0,80.0,9.0,0.0,0.0,0.0
numberplace.net,37.0,22.0,9.0,2.0,0.0,0.0
xutnufoob.com,75.0,55.0,10.0,74.0,0.0,0.0
imokatsu.com,57.0,43.0,10.0,14.0,0.0,0.0
cancerstage4treatment.com,18.0,56.0,10.0,0.0,0.0,0.0
ai-novel.com,36.0,16.0,10.0,72.0,0.0,0.0
soritia.jp,166.0,69.0,10.0,19.0,0.0,0.0
hitomi-news.com,3.0,107.0,10.0,0.0,0.0,0.0
blitz.gg,46.0,8.0,10.0,6.0,0.0,0.0
otayoripost.net,171.0,87.0,10.0,13.0,0.0,0.0
cancerstage4treatment.com,18.0,56.0,10.0,0.0,0.0,0.0
imokatsu.com,58.0,43.0,10.0,14.0,0.0,0.0
xn--u9jta670z9tdf8cy04fdhxa.com,8.0,22.0,10.0,26.0,0.0,0.0
jisw.com,109.0,57.0,10.0,0.0,0.0,0.0
myfamilytree.io,53.0,29.0,11.0,5.0,0.0,0.0
myfamilytree.io,54.0,29.0,11.0,5.0,0.0,0.0
name-power.net,46.0,72.0,11.0,6.0,0.0,0.0
wtmnews.net,46.0,6.0,11.0,3.0,0.0,0.0
marinetraffic.com,133.0,8.0,11.0,13.0,0.0,0.0
novelgames.com,104.0,77.0,11.0,0.0,0.0,0.0
iachara.com,63.0,16.0,11.0,10.0,0.0,0.0
portama.com,54.0,15.0,11.0,0.0,0.0,0.0
wtmnews.net,46.0,6.0,11.0,3.0,0.0,0.0
issue-archive.com,50.0,38.0,12.0,14.0,0.0,0.0
issue-archive.com,51.0,38.0,12.0,14.0,0.0,0.0
numberplace.net,31.0,22.0,12.0,2.0,0.0,0.0
quakeprediction.com,36.0,49.0,12.0,0.0,0.0,0.0
isitdownrightnow.com,188.0,63.0,12.0,61.0,0.0,0.0
jecontacte.com,116.0,136.0,12.0,80.0,0.0,0.0
tsp21.com,5.0,60.0,12.0,1.0,0.0,0.0
dyno.gg,177.0,53.0,12.0,24.0,0.0,0.0
dream-seed.com,80.0,47.0,12.0,24.0,0.0,0.0
imgur.io,105.0,8.0,12.0,2.0,0.0,0.0
rewardia.com,85.0,20.0,13.0,4.0,0.0,0.0
yoheim.net,125.0,792.0,13.0,126.0,0.0,0.0
customform.jp,121.0,36.0,13.0,3.0,0.0,0.0
cman.jp,28.0,29.0,13.0,0.0,0.0,0.0
nakamadaihatsu.com,43.0,21.0,13.0,0.0,0.0,0.0
jp.net,30.0,17.0,13.0,15.0,0.0,0.0
fortunetellingplus.com,35.0,25.0,13.0,3.0,0.0,0.0
hanihoh.com,58.0,75.0,13.0,24.0,0.0,0.0
cman.jp,28.0,29.0,13.0,0.0,0.0,0.0
rewardia.ca,85.0,20.0,13.0,4.0,0.0,0.0
teamoncloud.com,29.0,14.0,14.0,1.0,0.0,0.0
higherincomejobs.com,193.0,5.0,14.0,14.0,0.0,0.0
junkcall.org,20.0,26.0,14.0,0.0,0.0,0.0
alliancellp.net,70.0,46.0,14.0,0.0,0.0,0.0
higherincomejobs.com,193.0,5.0,14.0,14.0,0.0,0.0
buzzarab.com,84.0,29.0,14.0,4.0,0.0,0.0
insects.jp,101.0,150.0,14.0,0.0,0.0,0.0
cube-soft.jp,59.0,43.0,14.0,0.0,0.0,0.0
the-audience-news.com,130.0,84.0,15.0,3.0,0.0,0.0
joshi-spa.jp,517.0,180.0,15.0,51.0,0.0,0.0
joshi-spa.jp,517.0,180.0,15.0,51.0,0.0,0.0
intellect.co.jp,14.0,36.0,15.0,0.0,0.0,0.0
tokyo-okane-setsuyaku.com,72.0,41.0,15.0,25.0,0.0,0.0
chokugen.com,22.0,40.0,15.0,3.0,0.0,0.0
schoolwalker.com,46.0,18.0,15.0,11.0,0.0,0.0
tetrislive.com,31.0,22.0,15.0,1.0,0.0,0.0
himekuricalendar.com,10.0,37.0,15.0,27.0,0.0,0.0
himekuricalendar.com,10.0,37.0,16.0,26.0,0.0,0.0
drop.download,57.0,28.0,16.0,0.0,0.0,0.0
coinlocker-kensaku.com,34.0,19.0,16.0,3.0,0.0,0.0
tomato.gg,75.0,25.0,16.0,70.0,0.0,0.0
gramfree.today,95.0,15.0,16.0,5.0,0.0,0.0
warbrokers.io,85.0,17.0,16.0,4.0,0.0,0.0
utua.com.br,76.0,17.0,17.0,0.0,0.0,0.0
utua.com.br,76.0,17.0,17.0,0.0,0.0,0.0
tameshirou.com,113.0,28.0,17.0,66.0,0.0,0.0
kai-zukan.info,112.0,34.0,17.0,2.0,0.0,0.0
liac.jp,7.0,66.0,17.0,0.0,0.0,0.0
fujitana.net,33.0,9.0,17.0,0.0,0.0,0.0
utua.com.br,76.0,17.0,17.0,0.0,0.0,0.0
baseball.miyazaki.jp,143.0,87.0,18.0,20.0,0.0,0.0
kyotei.fun,518.0,336.0,18.0,0.0,0.0,0.0
mobile-twitter.jp,45.0,94.0,18.0,31.0,0.0,0.0
on-jin.com,120.0,147.0,18.0,21.0,0.0,0.0
baseball.miyazaki.jp,143.0,87.0,18.0,20.0,0.0,0.0
macozy.com,31.0,49.0,19.0,2.0,0.0,0.0
airasia.com,236.0,10.0,19.0,4.0,0.0,0.0
yacho-photo.com,19.0,22.0,19.0,13.0,0.0,0.0
macozy.com,31.0,49.0,19.0,2.0,0.0,0.0
b-engineer.co.jp,260.0,40.0,20.0,43.0,0.0,0.0
hiroaki-room.com,78.0,16.0,20.0,46.0,0.0,0.0
kinoco-zukan.net,160.0,43.0,20.0,2.0,0.0,0.0
tekokoro.com,150.0,40.0,20.0,57.0,0.0,0.0
mdstage.com,66.0,55.0,20.0,49.0,0.0,0.0
abstractpainting.work,38.0,1.0,20.0,0.0,0.0,0.0
visiting-japan.com,61.0,17.0,20.0,13.0,0.0,0.0
cbnanashi.net,83.0,323.0,20.0,182.0,0.0,0.0
haokan.mobi,64.0,20.0,20.0,1.0,0.0,0.0
farbecolore.com,31.0,42.0,20.0,21.0,0.0,0.0
kinoco-zukan.net,160.0,43.0,20.0,2.0,0.0,0.0
jeusol.fr,169.0,70.0,20.0,19.0,0.0,0.0
wukihow.com,92.0,24.0,21.0,2.0,0.0,0.0
moolineo.com,54.0,20.0,21.0,17.0,0.0,0.0
wukihow.com,91.0,23.0,21.0,0.0,0.0,0.0
moolineo.com,54.0,20.0,21.0,17.0,0.0,0.0
xfs.jp,37.0,37.0,21.0,3.0,0.0,0.0
mildom.com,604.0,80.0,21.0,47.0,0.0,0.0
moolineo.com,54.0,20.0,21.0,17.0,0.0,0.0
wukihow.com,93.0,24.0,21.0,2.0,0.0,0.0
querie.me,25.0,18.0,22.0,8.0,0.0,0.0
griproom.com,145.0,86.0,22.0,107.0,0.0,0.0
planete-mars.eu,129.0,65.0,22.0,7.0,0.0,0.0
planete-mars.eu,134.0,65.0,22.0,7.0,0.0,0.0
querie.me,26.0,18.0,22.0,8.0,0.0,0.0
griproom.com,146.0,86.0,22.0,107.0,0.0,0.0
whosnumber.com,110.0,29.0,22.0,1.0,0.0,0.0
school-navi.org,25.0,41.0,22.0,0.0,0.0,0.0
j-hotel.net,78.0,244.0,22.0,57.0,0.0,0.0
momonga-net.com,35.0,43.0,22.0,19.0,0.0,0.0
cookist.com,155.0,60.0,22.0,5.0,0.0,0.0
querie.me,26.0,18.0,22.0,8.0,0.0,0.0
planete-mars.eu,134.0,65.0,22.0,7.0,0.0,0.0
griproom.com,146.0,86.0,22.0,107.0,0.0,0.0
lolalytics.com,263.0,43.0,23.0,78.0,0.0,0.0
saluteweb.net,40.0,367.0,23.0,254.0,0.0,0.0
lolalytics.com,263.0,43.0,23.0,78.0,0.0,0.0
it-beginner.com,88.0,189.0,24.0,1.0,0.0,0.0
imgur.io,339.0,8.0,25.0,2.0,0.0,0.0
mbbs.tv,4.0,28.0,25.0,22.0,0.0,0.0
bokuchiki.com,63.0,41.0,25.0,8.0,0.0,0.0
it-beginner.com,89.0,189.0,25.0,1.0,0.0,0.0
fc2web.com,76.0,93.0,25.0,5.0,0.0,0.0
shiawasehp.net,6.0,114.0,25.0,1.0,0.0,0.0
ha-channel-88.com,2.0,94.0,25.0,2.0,0.0,0.0
nikkan-spa.jp,580.0,153.0,26.0,105.0,0.0,0.0
taboolanews.com,244.0,2.0,26.0,76.0,0.0,0.0
tubers.app,64.0,22.0,26.0,1.0,0.0,0.0
picture-rensyu.com,85.0,55.0,26.0,7.0,2.0,0.0
skyrim-guild.com,360.0,75.0,27.0,68.0,0.0,0.0
skyrim-guild.com,361.0,75.0,27.0,68.0,0.0,0.0
game-cmr.com,14.0,72.0,27.0,2.0,0.0,0.0
skyrim-guild.com,361.0,75.0,27.0,68.0,0.0,0.0
game-cmr.com,14.0,72.0,27.0,2.0,0.0,0.0
nikkan-spa.jp,581.0,154.0,27.0,105.0,0.0,0.0
parknavi.info,102.0,322.0,28.0,0.0,0.0,0.0
starblog.jp,38.0,215.0,28.0,0.0,0.0,0.0
1rankup.jp,114.0,36.0,29.0,2.0,0.0,0.0
play337.com,43.0,83.0,29.0,2.0,0.0,0.0
1rankup.jp,114.0,36.0,29.0,2.0,0.0,0.0
play337.com,43.0,83.0,29.0,2.0,0.0,0.0
fastflirting.com,51.0,13.0,30.0,2.0,0.0,0.0
gratis.it,83.0,134.0,30.0,24.0,0.0,0.0
starblog.jp,38.0,215.0,30.0,0.0,0.0,0.0
game.fm,557.0,104.0,30.0,0.0,0.0,0.0
toyatabi.com,4.0,54.0,30.0,0.0,0.0,0.0
game.fm,557.0,104.0,30.0,0.0,0.0,0.0
ikz.jp,1232.0,62.0,31.0,0.0,0.0,0.0
akitanote.jp,2.0,35.0,31.0,3.0,0.0,0.0
simfree-sumaho.com,39.0,24.0,32.0,27.0,0.0,0.0
studiok-i.net,53.0,62.0,32.0,2.0,0.0,0.0
howtravel.com,191.0,91.0,32.0,1.0,0.0,0.0
u.gg,566.0,69.0,34.0,44.0,0.0,0.0
goobox.fr,61.0,38.0,36.0,13.0,0.0,0.0
goobox.fr,63.0,38.0,36.0,13.0,0.0,0.0
b-outdoor.life,10.0,64.0,36.0,48.0,0.0,0.0
flowers-beauty.com,5.0,297.0,36.0,0.0,0.0,0.0
goobox.fr,63.0,38.0,36.0,13.0,0.0,0.0
mydrawingstar.com,86.0,40.0,38.0,97.0,0.0,0.0
mydrawingstar.com,86.0,40.0,38.0,97.0,0.0,0.0
omiseno-parking.net,224.0,49.0,38.0,136.0,0.0,0.0
saidokinome.biz,230.0,105.0,38.0,229.0,0.0,0.0
grimmstories.com,61.0,89.0,38.0,20.0,0.0,0.0
tennessean.com,217.0,145.0,40.0,98.0,0.0,0.0
ultimatecarpage.com,91.0,432.0,40.0,18.0,0.0,0.0
ultimatecarpage.com,96.0,436.0,40.0,18.0,0.0,0.0
tennessean.com,216.0,147.0,40.0,98.0,0.0,0.0
nagareki.com,4.0,77.0,40.0,0.0,0.0,0.0
ultimatecarpage.com,96.0,438.0,40.0,18.0,0.0,0.0
hapitas.jp,111.0,26.0,40.0,42.0,0.0,0.0
kogarashi.info,3.0,74.0,40.0,0.0,0.0,0.0
tennessean.com,235.0,149.0,40.0,112.0,0.0,0.0
asophoto.com,43.0,93.0,42.0,9.0,0.0,0.0
framu.world,642.0,125.0,42.0,15.0,0.0,0.0
sharetechnote.com,5.0,146.0,44.0,283.0,0.0,0.0
sharetechnote.com,13.0,146.0,44.0,283.0,0.0,0.0
sharetechnote.com,13.0,146.0,44.0,283.0,0.0,0.0
yokaphoto.net,85.0,119.0,44.0,4.0,0.0,0.0
starmint.net,218.0,83.0,46.0,26.0,0.0,0.0
webmota.com,473.0,300.0,48.0,202.0,0.0,0.0
gigafree.net,119.0,176.0,48.0,24.0,0.0,0.0
mokehana.com,8.0,94.0,50.0,1.0,0.0,0.0
thehotgames.com,75.0,61.0,52.0,3.0,0.0,0.0
ultimate-guitar.com,659.0,242.0,52.0,266.0,0.0,0.0
thegame.jp,4.0,240.0,52.0,0.0,0.0,0.0
ee-ko.com,11.0,1.0,52.0,2.0,0.0,0.0
rev-hub.com,233.0,110.0,54.0,50.0,0.0,0.0
reffect.co.jp,209.0,120.0,54.0,49.0,0.0,0.0
7716wedding.com,281.0,131.0,56.0,17.0,0.0,0.0
operanewsapp.com,134.0,45.0,56.0,43.0,0.0,0.0
puzzle-ch.com,175.0,63.0,58.0,68.0,0.0,0.0
nehannn.com,220.0,71.0,60.0,31.0,0.0,0.0
minnaga.com,24.0,67.0,60.0,2.0,0.0,0.0
matomedi.com,608.0,75.0,64.0,0.0,0.0,0.0
yiv.com,110.0,73.0,64.0,60.0,0.0,0.0
licolla.jp,201.0,31.0,64.0,25.0,0.0,0.0
huffingtonpost.jp,781.0,242.0,68.0,25.0,0.0,0.0
huffingtonpost.jp,789.0,245.0,68.0,28.0,0.0,0.0
teitengame.com,48.0,145.0,72.0,37.0,0.0,0.0
taptop.games,128.0,80.0,76.0,0.0,0.0,0.0
kentikusi.com,31.0,121.0,88.0,6.0,0.0,0.0
kentikusi.com,31.0,121.0,88.0,6.0,0.0,0.0
sudoku.name,350.0,93.0,104.0,47.0,0.0,0.0
nonotore.jp,25.0,334.0,120.0,1.0,0.0,0.0
tuber-town.com,316.0,227.0,152.0,30.0,0.0,0.0
justfun.games,20.0,181.0,176.0,177.0,0.0,0.0
justfun.games,22.0,181.0,176.0,177.0,0.0,0.0
justfun.games,22.0,181.0,176.0,177.0,0.0,0.0
snowcrows.com,73.0,39.0,1.0,13.0,0.0,0.0
taroz.jp,2.0,81.0,1.0,4.0,0.0,0.0
brainly.in,40.0,2.0,1.0,12.0,0.0,0.0
brainly.com,40.0,2.0,1.0,12.0,0.0,0.0
mcreader.net,40.0,2.0,1.0,12.0,0.0,0.0
taroz.jp,6.0,81.0,1.0,4.0,0.0,0.0
brainly.com,40.0,2.0,1.0,12.0,0.0,0.0
focgames.com,32.0,27.0,1.0,0.0,0.0,0.0
narrow.one,57.0,0.0,1.0,3.0,0.0,0.0
apli.co,472.0,166.0,1.0,171.0,0.0,0.0
interpals.net,73.0,6.0,1.0,15.0,0.0,0.0
trontv.com,788.0,185.0,1.0,31.0,0.0,0.0
jigsawpuzzles.io,52.0,15.0,1.0,30.0,0.0,0.0
fumadata.com,239.0,1.0,1.0,1.0,0.0,0.0
torinozukan.net,84.0,16.0,1.0,16.0,0.0,0.0
playok.com,19.0,242.0,1.0,0.0,0.0,0.0
den256.com,48.0,13.0,1.0,15.0,0.0,0.0
biyou-hifuka-navi.com,12.0,252.0,1.0,93.0,0.0,0.0
zyuken.net,21.0,233.0,1.0,0.0,0.0,0.0
hantaigo.com,24.0,92.0,1.0,1.0,0.0,0.0
810.jp,211.0,202.0,1.0,0.0,0.0,0.0
taroz.jp,6.0,81.0,1.0,4.0,0.0,0.0
sencle.net,70.0,41.0,1.0,15.0,0.0,0.0
focgames.com,32.0,27.0,1.0,0.0,0.0,0.0
trontv.com,788.0,185.0,1.0,31.0,0.0,0.0
jigsawpuzzles.io,55.0,15.0,1.0,33.0,0.0,0.0
xn--fhqz97e6j2aqxg.com,183.0,36.0,579.0,30.0,0.0,0.0
udn.com,814.0,708.0,145.0,275.0,0.0,0.0
sweetagram.com,473.0,146.0,145.0,148.0,0.0,0.0
langoal.com,482.0,197.0,145.0,0.0,0.0,0.0
g55.co,468.0,158.0,153.0,3.0,0.0,0.0
6bob.net,6.0,206.0,201.0,203.0,0.0,0.0
6bob.net,6.0,206.0,201.0,203.0,0.0,0.0
niigata-nippo.co.jp,1109.0,547.0,209.0,240.0,0.0,0.0
iwantplay.games,18.0,406.0,402.0,401.0,0.0,0.0
tver.jp,1655.0,445.0,402.0,858.0,0.0,0.0
ldplayer.tw,204.0,138.0,65.0,3.0,0.0,0.0
coloringbookgames.com,89.0,43.0,69.0,104.0,0.0,0.0
coloringbookgames.com,88.0,43.0,69.0,104.0,0.0,0.0
anyknew.com,292.0,31.0,73.0,83.0,0.0,0.0
anyknew.com,294.0,31.0,73.0,83.0,0.0,0.0
anyknew.com,294.0,31.0,73.0,83.0,0.0,0.0
bomfin.com,395.0,118.0,81.0,25.0,0.0,0.0
kolagames.com,97.0,85.0,81.0,4.0,0.0,0.0
bomfin.com,392.0,118.0,81.0,25.0,0.0,0.0
xilxi.com,286.0,254.0,85.0,0.0,0.0,0.0
newsaperp.com,294.0,117.0,85.0,63.0,0.0,0.0
uraraka-soudan.com,1800.0,314.0,93.0,222.0,0.0,0.0
babygames.com,191.0,105.0,97.0,44.0,0.0,0.0
appare.com,13.0,90.0,101.0,0.0,0.0,0.0
9bob.net,120.0,108.0,105.0,1.0,0.0,0.0
yohoho.io,406.0,17.0,109.0,48.0,0.0,0.0
books-nekoya.jp,718.0,833.0,113.0,356.0,0.0,0.0
books-nekoya.jp,718.0,833.0,113.0,356.0,0.0,0.0
umizukan.com,44.0,128.0,117.0,0.0,0.0,0.0
pinqueue.com,760.0,273.0,146.0,16.0,0.0,0.0
najox.com,283.0,283.0,260.0,4.0,0.0,0.0
educalingo.com,54.0,137.0,139.0,15.0,0.0,0.0
itohari.jp,147.0,231.0,294.0,126.0,0.0,0.0
playtoys.tv,434.0,114.0,407.0,400.0,0.0,0.0
speedsystem-jp.com,25.0,35.0,33.0,25.0,0.0,0.0
lucky.jp,19.0,126.0,33.0,49.0,0.0,0.0
manuall.jp,173.0,197.0,33.0,2.0,0.0,0.0
golf-condor.com,151.0,39.0,33.0,24.0,0.0,0.0
yorozu.be,187.0,99.0,33.0,11.0,0.0,0.0
kyushu-sanpo.jp,1.0,406.0,35.0,0.0,0.0,0.0
solfors.com,28.0,50.0,35.0,2.0,0.0,0.0
apoo.jp,17.0,427.0,35.0,0.0,0.0,0.0
guntabi.com,4.0,64.0,35.0,0.0,0.0,0.0
supercook.com,296.0,379.0,35.0,63.0,0.0,0.0
yoshida-shoin.com,14.0,70.0,37.0,3.0,0.0,0.0
yoshida-shoin.com,14.0,70.0,37.0,3.0,0.0,0.0
yoshida-shoin.com,14.0,70.0,37.0,3.0,0.0,0.0
juken-rush.com,287.0,132.0,37.0,134.0,0.0,0.0
unityroom.com,234.0,132.0,39.0,1.0,0.0,0.0
inoreader.com,194.0,84.0,39.0,54.0,0.0,0.0
kashinavi.com,59.0,215.0,39.0,173.0,0.0,0.0
enoshima-maji-aishiteru.com,111.0,43.0,39.0,21.0,0.0,0.0
futsal-times.com,32.0,133.0,41.0,0.0,0.0,0.0
wingot.net,220.0,137.0,41.0,49.0,0.0,0.0
mydrawingstar.com,92.0,44.0,43.0,109.0,0.0,0.0
hokatool.com,255.0,57.0,43.0,29.0,0.0,0.0
yapy.jp,8.0,80.0,43.0,0.0,0.0,0.0
hokatool.com,255.0,57.0,43.0,29.0,0.0,0.0
yasashi.info,175.0,87.0,43.0,37.0,0.0,0.0
ship24.com,424.0,160.0,43.0,40.0,0.0,0.0
itsrun.info,128.0,15.0,43.0,0.0,0.0,0.0
hokatool.com,255.0,57.0,43.0,29.0,0.0,0.0
gigazine.net,204.0,208.0,45.0,83.0,0.0,0.0
musen-lan.com,7.0,37.0,45.0,0.0,0.0,0.0
sdin.jp,12.0,127.0,45.0,0.0,0.0,0.0
gigazine.net,204.0,208.0,45.0,83.0,0.0,0.0
erinn.biz,33.0,194.0,47.0,7.0,0.0,0.0
rave.dj,843.0,48.0,47.0,11.0,0.0,0.0
rmcafe.jp,251.0,160.0,47.0,54.0,0.0,0.0
gamefz.com,39.0,118.0,47.0,2.0,0.0,0.0
play-life.jp,456.0,193.0,49.0,100.0,0.0,0.0
loot.tv,369.0,12.0,49.0,122.0,0.0,0.0
j-baseball.club,300.0,58.0,49.0,85.0,0.0,0.0
dqname.jp,6.0,118.0,51.0,0.0,0.0,0.0
sl-link.com,242.0,174.0,51.0,6.0,0.0,0.0
killy.biz,204.0,173.0,51.0,11.0,0.0,0.0
yoritomo-japan.com,16.0,59.0,51.0,2.0,0.0,0.0
line-tatsujin.com,228.0,114.0,51.0,6.0,0.0,0.0
line-tatsujin.com,228.0,114.0,51.0,6.0,0.0,0.0
games-online.io,206.0,69.0,53.0,4.0,0.0,0.0
bvets.net,8.0,22.0,53.0,0.0,0.0,0.0
bvets.net,8.0,22.0,53.0,0.0,0.0,0.0
otameshi-muryou.com,22.0,53.0,55.0,0.0,0.0,0.0
chrislovesjulia.com,582.0,253.0,57.0,15.0,0.0,0.0
chrislovesjulia.com,584.0,253.0,57.0,15.0,0.0,0.0
